col0,col1,col2
27.022617088020528,13.6,2010-06-01T13:00:14.120000
36.20809657647118,8.4,2010-06-01T12:58:02.120000
62.93289751599734,24.199833333333334,2010-06-15T12:55:02.110000
38.97054948757745,22.999666666666666,2010-07-07T12:23:50.110000
53.58942032251549,21.799833333333332,2010-07-07T13:28:50.120000
30.640110703649,17.400166666666667,2010-07-15T12:12:02.130000
34.62323773272636,12.8,2010-07-15T12:19:02.110000
25.765784521214407,14.2,2010-07-24T12:09:50.120000
42.552298854284636,24.4,2010-08-01T13:27:14.120000
43.78096231531272,15.4,2010-08-07T12:37:44.120000
32.074780583542505,15.199833333333334,2010-08-15T13:10:32.120000
46.32895236261239,18.599833333333333,2010-08-24T12:51:44.120000
41.819480713452165,15.2,2010-08-24T13:22:20.120000
36.156397283808616,18.800166666666666,2010-09-01T12:43:44.120000
27.764497469761128,17.2,2010-09-15T12:21:20.120000
28.363382041713457,20.2,2010-09-15T12:26:08.120000
46.242648854782,18.800166666666666,2010-09-15T12:33:44.120000
31.669637865908076,18.999833333333335,2010-09-15T13:06:32.130000
37.98509124279171,18.4,2010-09-24T12:36:56.120000
41.107637887462936,17.799833333333332,2010-10-15T12:32:08.120000
36.311536638937255,20.3995,2010-10-24T12:37:08.130000
63.94515322442484,26.599833333333333,2010-11-01T12:43:08.130000
33.20603031861082,15.999833333333333,2010-11-01T12:55:20.130000
45.125476271623725,20.0,2010-11-07T12:25:20.120000
45.599843052167934,12.0,2010-11-07T13:18:08.120000
44.13747470746613,15.0,2010-11-15T12:10:08.130000
39.05135355499374,15.199833333333334,2010-11-15T12:14:44.140000
42.709972852213724,22.4,2010-12-01T13:45:20.140000
22.009438511319082,12.8,2010-12-07T12:09:08.120000
45.701033153713745,25.4,2010-12-15T12:17:08.130000
40.61460622248332,26.6,2010-12-24T12:30:32.120000
53.589528767783555,14.8,2010-12-24T13:22:08.120000
33.550685278687574,19.2,2011-01-01T13:06:56.130000
34.127041628444864,9.800166666666666,2011-01-01T13:47:56.130000
28.845014553894963,14.0,2011-01-15T12:09:32.120000
33.508578982540726,14.0,2011-01-15T12:55:32.140000
33.04991294212,13.8,2011-01-15T13:50:56.120000
43.14772775693994,18.599833333333333,2011-01-24T12:22:56.130000
64.72639670094416,22.200333333333333,2011-01-24T12:44:44.130000
58.41133279973967,17.0,2011-01-24T13:33:56.130000
26.518975078704596,13.400166666666667,2011-02-01T13:16:44.130000
38.168915510817854,16.199833333333334,2011-02-01T13:37:32.120000
53.910044268765475,16.799666666666667,2011-02-07T12:10:32.120000
38.66085552065129,19.4,2011-02-07T13:21:56.120000
27.323630739108058,19.0,2011-02-15T13:51:08.120000
34.82350067011019,13.599833333333333,2011-02-24T12:30:32.120000
49.29044967673338,23.999833333333335,2011-02-24T12:54:08.130000
44.55780868514025,18.39966666666667,2011-03-01T12:20:32.120000
30.01404343008806,19.0,2011-03-01T13:20:56.120000
33.79223954027682,6.999833333333333,2011-03-15T12:06:32.120000
37.02116485110865,17.6,2011-03-15T12:09:44.120000
28.72061961120573,12.000166666666667,2011-03-15T13:14:32.120000
29.218634968068613,17.600166666666667,2011-03-24T12:52:32.120000
55.72629451760993,18.800166666666666,2011-03-24T13:50:20.120000
54.57759503234835,21.000166666666665,2011-04-07T13:40:44.130000
45.33884703213321,19.399833333333333,2011-04-15T12:54:20.120000
50.69244378724641,17.800333333333334,2011-04-15T12:54:44.130000
33.25632340622627,13.200166666666666,2011-04-24T12:31:56.120000
37.730007825188075,18.600166666666667,2011-05-07T12:37:32.120000
26.928556217120306,21.999833333333335,2011-05-07T13:42:20.120000
52.490968347332405,18.2,2011-05-15T13:27:56.130000
63.49966051590777,25.8,2011-07-01T13:06:08.120000
36.13680387533059,9.999833333333333,2011-07-01T13:02:32.120000
61.638878528620396,22.400166666666667,2011-07-01T13:32:32.120000
44.46620829889014,17.4,2011-07-01T13:35:32.130000
29.524526380926225,11.999833333333333,2011-07-07T12:56:08.120000
43.239699547567376,24.0,2011-07-15T13:31:44.120000
41.650263113793855,21.600166666666667,2011-07-24T12:54:56.120000
52.16598343903569,19.6,2011-08-01T12:41:32.120000
42.67412936013439,14.032666666666668,2011-08-07T12:47:44.130000
41.819106110514404,22.6,2011-08-07T13:03:32.120000
34.49493977122375,11.8,2011-08-15T12:51:08.120000
35.7888200630596,16.799666666666667,2011-08-24T12:52:44.130000
45.591886818332846,19.600166666666667,2011-08-24T12:45:08.120000
39.26216985367621,12.8,2011-09-01T12:03:32.130000
35.101391594704545,11.799833333333334,2011-09-24T12:51:20.120000
38.146675161956516,13.8,2011-10-01T12:28:08.120000
46.09430341363991,16.599833333333333,2011-10-07T13:11:20.120000
50.44398261087772,21.400166666666667,2011-10-15T12:17:56.120000
46.41930315390462,21.199833333333334,2011-10-15T12:24:20.130000
43.99951416484465,15.4,2011-11-01T12:27:56.140000
31.100824190882424,13.5995,2011-11-01T13:11:20.120000
45.43674784946625,13.200166666666666,2011-11-07T13:29:32.130000
38.78414481439634,18.200166666666668,2011-11-07T13:35:32.130000
36.03072434688148,14.400166666666667,2011-11-24T13:23:20.130000
39.52956701541272,20.4,2011-12-01T13:17:56.130000
28.949484946807015,16.600166666666667,2011-12-07T13:45:56.130000
36.16831601764073,13.8,2011-12-15T13:41:44.120000
54.901573286700625,18.2,2012-01-01T12:52:32.120000
49.357143393906306,22.800166666666666,2012-01-01T13:49:32.120000
45.92071310365461,23.400166666666667,2012-01-24T12:24:44.130000
36.33602521737397,16.0,2012-02-01T12:15:08.120000
47.813255128848006,18.0,2012-02-01T12:22:20.120000
30.025651716525953,17.0,2012-02-01T12:34:44.120000
22.43760170463972,12.0,2012-02-01T12:45:44.120000
25.776711262454292,26.600166666666667,2012-02-01T13:35:08.130000
22.097501364681026,9.8,2012-03-01T12:24:56.130000
51.10043567871993,14.6,2012-03-01T13:20:56.140000
52.13571081839346,22.800333333333334,2012-03-07T12:32:44.120000
35.7029828652192,15.999833333333333,2012-03-07T12:58:44.130000
34.73403573640097,13.4,2012-03-07T13:04:32.120000
40.744777789758935,18.400333333333332,2012-04-01T13:01:08.120000
38.34861844854478,10.800166666666666,2012-04-07T12:25:08.120000
22.823359357575292,13.0,2012-04-24T12:42:08.120000
27.306783728125104,11.4,2012-04-24T13:32:20.120000
27.42834705941331,16.199833333333334,2012-05-01T12:21:20.120000
23.272322540489515,12.600166666666667,2012-05-01T12:45:44.120000
29.830056713613832,11.8,2012-05-01T12:46:56.120000
36.081214263859685,18.0,2012-05-07T12:14:08.120000
50.041050142649524,17.4,2012-05-07T12:18:44.120000
33.141614529819016,17.200166666666668,2012-05-15T12:11:44.130000
29.262164397680582,13.800166666666666,2012-05-15T13:10:56.120000
26.55148777097207,14.399833333333333,2012-05-24T13:42:44.120000
36.15467201875536,17.0,2012-06-01T12:14:56.120000
26.06766700941058,15.8,2012-06-01T12:25:20.130000
27.373028071511797,16.0,2012-06-01T12:45:44.120000
30.563211749440626,18.599833333333333,2012-06-07T13:35:20.120000
26.83143583894541,21.000333333333334,2012-06-15T12:45:32.120000
37.11331355864153,14.8,2012-06-15T12:44:56.120000
30.79380358496901,17.2,2012-06-15T13:00:20.120000
32.89179738291359,9.399833333333333,2012-06-24T13:17:56.130000
28.897302846700256,18.2,2012-07-15T12:21:07.130000
33.05279760474945,13.6,2012-08-01T12:33:19.130000
25.57069611512434,20.200166666666668,2012-08-01T13:01:43.120000
44.20414096669285,30.8,2012-08-01T13:37:19.120000
28.680380051302944,12.4,2012-08-07T12:16:43.130000
25.114195465921163,14.599666666666668,2012-08-07T12:21:55.120000
23.787939942468828,11.399833333333333,2012-08-24T12:06:43.130000
26.60399082559251,20.0,2012-09-01T13:47:43.130000
36.72695415525747,18.0,2012-09-01T13:12:55.120000
44.35566025423396,9.6,2012-09-07T12:05:43.120000
41.375072685514475,18.4,2012-09-07T13:32:07.120000
31.084855968601527,21.599833333333333,2012-09-24T12:23:31.130000
39.717595828969884,11.200166666666666,2012-09-24T13:46:19.120000
47.363728559077465,27.2,2012-10-01T12:53:19.140000
42.72431428619919,18.599833333333333,2012-10-01T12:55:55.120000
30.498076888337337,13.0,2012-10-07T13:01:43.120000
37.46049150033032,18.6,2012-10-15T13:19:43.140000
39.65240926380145,15.800166666666666,2012-10-24T12:08:19.120000
37.268852374246094,20.399833333333333,2012-11-01T12:53:55.120000
41.50380625939043,14.6,2012-11-07T12:10:43.120000
29.83137090216929,16.400166666666667,2012-11-15T13:39:55.130000
43.02721083425512,13.400166666666667,2012-12-01T12:57:19.120000
33.23966862937197,22.6,2012-12-01T13:07:43.120000
28.738489736689676,9.999833333333333,2012-12-15T12:32:07.120000
41.28193775780888,11.399833333333333,2013-01-07T12:14:07.140000
44.80971414737251,16.0,2013-01-15T12:41:19.140000
50.107928846086935,22.6,2013-01-15T13:39:19.130000
37.79992143648438,15.399833333333333,2013-01-15T13:51:19.130000
54.59165110717367,34.0,2013-01-24T12:38:55.120000
31.605238806720845,12.0,2013-02-01T13:04:31.140000
36.312526831685425,14.8,2013-02-15T12:13:19.120000
44.25298922467461,14.6,2013-03-01T12:23:55.130000
51.0212166120589,20.6,2013-04-01T12:13:19.120000
34.20351256000695,14.0,2013-04-01T12:25:19.140000
39.24552077531208,16.2,2013-04-24T12:50:55.120000
43.71189705649956,16.800166666666666,2013-05-07T13:30:19.120000
36.408430562593225,11.600333333333333,2013-05-15T13:44:07.130000
34.02240795737507,13.6,2013-05-24T12:46:07.120000
39.27977921098411,15.3995,2013-06-01T13:48:55.120000
54.66979248001389,19.199833333333334,2013-06-15T12:37:43.120000
65.7384904993446,23.599833333333333,2013-06-15T13:07:31.130000
53.01413049409762,17.6,2013-07-01T12:49:31.130000
34.170311270312354,16.4,2013-07-07T12:18:43.130000
47.00239713591472,18.0,2013-07-15T13:22:43.130000
17.321680050985044,11.8,2013-08-01T13:19:43.120000
44.68585727646813,16.2,2013-08-07T12:15:31.130000
29.443891713478028,9.2,2013-08-07T12:41:55.130000
40.80497941052665,27.6,2013-08-15T12:34:07.120000
34.657260703767975,9.799833333333334,2013-08-24T13:08:43.140000
42.62526042930164,16.8,2013-09-07T12:17:07.130000
37.36422913006699,20.799833333333332,2013-09-07T13:04:55.130000
31.17786476186197,12.199833333333334,2013-09-15T13:26:31.140000
28.12867393333725,14.0,2013-10-01T12:43:07.120000
30.40163346303631,19.8,2013-10-07T12:11:31.130000
30.515261682819684,10.0,2013-10-07T13:01:31.120000
35.987637601907394,23.199833333333334,2013-10-15T12:58:55.140000
23.088021561321625,15.199833333333334,2013-11-07T12:23:19.120000
40.76121653414544,22.8,2013-11-07T12:39:19.120000
21.061461604192896,13.200166666666666,2013-11-07T12:34:31.140000
37.309284684598744,17.8005,2013-11-07T12:41:31.130000
33.74493288067219,11.200333333333333,2013-11-15T12:27:55.120000
23.3762504076667,15.6,2013-11-15T13:05:43.130000
23.262857562698443,12.0,2013-11-24T13:10:55.120000
21.90478831416985,12.0,2013-11-24T13:11:07.130000
31.466924407741153,18.8,2013-12-01T12:42:19.130000
24.022885473979656,11.800333333333333,2013-12-01T12:37:43.130000
32.7927078446651,14.799833333333334,2013-12-01T13:45:55.120000
30.073170070423195,15.6,2013-12-07T12:31:19.120000
29.7039240955075,13.8,2013-12-07T13:48:43.130000
34.13671580549719,17.799833333333332,2013-12-15T13:03:07.120000
50.585754181926674,20.8,2013-12-15T13:15:55.120000
34.974475554841575,11.4,2013-12-15T13:08:07.120000
24.51408576786975,14.4,2013-12-15T13:27:07.120000
48.26530070795257,21.799833333333332,2014-01-01T13:49:31.120000
41.18006549895945,21.6,2014-01-07T13:15:19.120000
38.59687576905424,18.6,2014-01-15T12:18:07.120000
28.329145162102943,14.0,2014-02-07T12:27:55.130000
26.864047954554977,17.600166666666667,2014-02-07T12:53:55.130000
29.09491492341134,13.800166666666666,2014-02-07T13:15:31.130000
22.19257309612123,15.6,2014-02-24T13:31:31.120000
26.657334201032587,11.399833333333333,2014-03-01T12:41:31.120000
34.45652454474423,14.2,2014-03-01T13:15:19.130000
29.524415158261714,18.2,2014-03-01T13:17:55.130000
26.05330498197471,14.599833333333333,2014-03-07T12:58:55.120000
16.91583913898469,15.8,2014-03-07T13:21:55.120000
24.09964194606845,9.2,2014-03-15T12:43:43.120000
27.833675519407,15.799666666666667,2014-03-15T13:03:43.120000
21.839340230018568,14.199833333333334,2014-03-24T13:21:31.120000
24.086213055043235,10.199833333333334,2014-04-01T12:15:07.130000
21.45392389763647,8.8,2014-04-07T12:16:19.120000
50.233697013963074,35.4,2014-04-24T12:38:43.120000
22.202074071559796,10.400166666666667,2014-05-01T13:23:19.130000
24.52420850054828,12.0,2014-05-01T13:40:31.130000
28.29914755585877,16.399833333333333,2014-05-15T13:31:43.120000
25.401457153594727,6.800166666666667,2014-05-15T12:35:19.120000
35.5927705063416,21.4,2014-05-24T13:09:07.120000
32.59279862723497,19.60033333333333,2014-06-01T12:58:07.120000
31.24484412452651,20.2,2014-06-07T12:25:07.120000
46.45496714260909,21.0,2014-06-07T12:55:31.130000
25.8168431175815,15.0,2014-06-15T12:52:07.120000
23.82663322842773,17.4,2014-06-24T13:26:43.130000
25.75515713414143,17.999833333333335,2014-06-24T13:22:55.120000
27.491774450255917,17.200166666666668,2014-07-07T12:30:43.120000
38.483525306329604,17.000333333333334,2014-07-07T13:50:55.120000
29.507448156880265,14.199833333333334,2014-07-15T12:10:07.120000
54.12496571468113,21.799833333333332,2014-07-15T12:18:43.120000
40.6396171131401,19.8,2014-07-24T12:26:31.120000
37.23678458124034,11.6,2014-08-01T12:36:07.120000
34.68878711975989,15.399833333333333,2014-08-01T12:55:31.130000
31.375940217963876,18.800166666666666,2014-08-07T12:13:31.130000
26.978442959068918,16.6,2014-08-15T12:09:31.120000
38.23975554121258,22.0,2014-08-15T12:39:07.120000
38.90287313672793,21.4,2014-08-15T13:28:55.120000
24.0107613599174,17.60033333333333,2014-08-24T12:36:43.130000
37.267798157929185,25.8,2014-08-24T13:04:55.130000
35.07051349748545,16.200166666666668,2014-08-24T13:31:19.120000
29.185018603667736,15.200166666666666,2014-09-01T12:31:07.130000
40.49388844367843,35.60033333333333,2014-09-01T12:49:31.130000
33.446662401139,14.6,2014-09-07T13:13:43.120000
28.944983078711633,13.2,2014-09-07T13:26:55.120000
22.759861118231367,18.799833333333332,2014-09-07T13:48:19.130000
32.273711251736245,15.000333333333334,2014-09-15T12:44:43.120000
27.51808193665965,18.4,2014-09-15T13:24:55.140000
45.91958140098167,19.2,2014-09-24T12:48:19.130000
37.40509991602587,21.0,2014-10-01T12:41:07.130000
36.54499279906164,13.2,2014-10-01T12:58:19.120000
44.12428089837461,21.8,2014-10-07T12:39:55.130000
41.54289685635483,18.399833333333333,2014-10-24T12:10:43.130000
40.402549614640265,21.6,2014-11-01T12:29:31.130000
33.47264367722134,10.799833333333334,2014-11-15T13:28:19.140000
34.016416740763745,14.4,2014-12-01T13:05:55.120000
37.52700524759493,15.4,2014-12-01T13:46:55.140000
44.025892542873066,19.39966666666667,2014-12-07T12:20:55.140000
40.08500945015353,13.2,2014-12-07T13:11:07.120000
29.292703048279147,13.4,2014-12-15T12:07:19.130000
41.573915355113535,13.2,2014-12-15T12:41:19.130000
44.24703709733295,17.800166666666666,2014-12-15T13:13:19.130000
55.549169826965986,16.999666666666666,2014-12-24T13:14:55.120000
